GEO_ID,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,White; Black or African American,Black or African American; American Indian and Alaska Native,White; American Indian and Alaska Native,White; Asian,White; Native Hawaiian and Other Pacific Islander,White; Some Other Race,Black or African American; Asian,Black or African American; Native Hawaiian and Other Pacific Islander,Black or African American; Some Other Race,American Indian and Alaska Native; Asian,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander,Asian; Some Other Race,Native Hawaiian and Other Pacific Islander; Some Other Race,Occupied_percent,democrat_percent,Turnout
17031016017,0.13405590416428978,0.29891614375356534,0.03080433542498574,0.0005704506560182544,0.0,0.5356531660011409,0.029925187032418952,0.014962593516209476,0.0024937655860349127,0.0,0.0,0.912718204488778,0.0024937655860349127,0.0,0.00997506234413965,0.0,0.0,0.022443890274314215,0.0,0.0,0.004987531172069825,0.9619047619047619,0.8914405010438413,0.47963340122199594
17031016018,0.10399492707672796,0.45466074825618263,0.02663284717818643,0.0031705770450221942,0.0,0.4115409004438808,0.03529411764705882,0.0,0.0,0.0,0.0,0.9294117647058824,0.0,0.0,0.011764705882352941,0.0,0.0,0.023529411764705882,0.0,0.0,0.0,0.9114503816793893,0.9249394673123487,0.5055624227441285
17031016019,0.07402597402597402,0.6051948051948052,0.014285714285714285,0.0025974025974025974,0.0,0.3038961038961039,0.1037037037037037,0.022222222222222223,0.022222222222222223,0.0,0.007407407407407408,0.725925925925926,0.0,0.0,0.0962962962962963,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.8912685337726524,0.9320113314447592,0.4708994708994709
17031016020,0.052455357142857144,0.7767857142857143,0.024553571428571428,0.0011160714285714285,0.0,0.14508928571428573,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.7083333333333334,0.0,0.0,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.7184466019417476,0.9592592592592593,0.4619289340101523
17031016021,0.03471444568868981,0.8286674132138858,0.011198208286674132,0.0,0.0,0.12541993281075028,0.15384615384615385,0.015384615384615385,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.15384615384615385,0.015384615384615385,0.0,0.03076923076923077,0.0,0.0,0.015384615384615385,0.9253731343283582,0.9580645161290322,0.40346205059920104
17031016022,0.08643815201192251,0.5737704918032787,0.027570789865871834,0.0029806259314456036,0.0,0.30923994038748137,0.15822784810126583,0.006329113924050633,0.0,0.006329113924050633,0.0,0.7278481012658228,0.0189873417721519,0.0,0.0379746835443038,0.0,0.0,0.04430379746835443,0.0,0.0,0.0,0.780952380952381,0.9446153846153846,0.4323258869908016
17031016023,0.16603235014272122,0.12226450999048526,0.05137963843958135,0.0014272121788772598,0.0,0.6588962892483349,0.0,0.0,0.01098901098901099,0.0,0.0,0.9252747252747253,0.002197802197802198,0.0,0.01098901098901099,0.0,0.0,0.04835164835164835,0.0,0.0,0.002197802197802198,0.9519519519519519,0.8944099378881988,0.5046248715313464
17031016024,0.046511627906976744,0.7420718816067653,0.0,0.0,0.004228329809725159,0.20718816067653276,0.075,0.025,0.0,0.025,0.0,0.725,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.76,0.9562841530054644,0.4481012658227848
17031016025,0.005649717514124294,0.9613935969868174,0.007532956685499058,0.002824858757062147,0.0,0.022598870056497175,0.425,0.1,0.05,0.025,0.0,0.325,0.025,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.7514792899408284,0.9530921820303383,0.5
17031017002,0.009708737864077669,0.9773462783171522,0.0008090614886731392,0.0024271844660194173,0.0,0.009708737864077669,0.4090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.8817733990147784,0.9670588235294117,0.4836829836829837
17031017003,0.07538802660753881,0.7487065779748706,0.019216555801921657,0.0007390983000739098,0.0,0.15594974131559497,0.08547008547008547,0.05128205128205128,0.02564102564102564,0.0,0.0,0.5726495726495726,0.0,0.0,0.24786324786324787,0.0,0.0,0.0,0.0,0.008547008547008548,0.008547008547008548,0.8451400329489291,0.9410377358490566,0.49516908212560384
17031017004,0.0016420361247947454,0.9852216748768473,0.007389162561576354,0.0,0.0,0.005747126436781609,0.45454545454545453,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.8411497730711044,0.949317738791423,0.527292576419214
17031017005,0.02949438202247191,0.8960674157303371,0.018258426966292134,0.0014044943820224719,0.0,0.054775280898876406,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8093922651933702,0.9548192771084337,0.4991482112436116
17031017006,0.0821917808219178,0.6280821917808219,0.03561643835616438,0.0061643835616438354,0.0,0.24794520547945206,0.061611374407582936,0.04739336492890995,0.009478672985781991,0.0,0.0,0.8578199052132701,0.0,0.0,0.009478672985781991,0.0,0.0,0.014218009478672985,0.0,0.0,0.0,0.9223744292237442,0.9383561643835616,0.4820627802690583
17031017007,0.15491259795057263,0.3719107896323086,0.03556359252561784,0.007836045810729355,0.0,0.42977697408077153,0.024844720496894408,0.012422360248447204,0.015527950310559006,0.006211180124223602,0.0,0.8881987577639752,0.0,0.0,0.040372670807453416,0.0,0.0,0.009316770186335404,0.0,0.003105590062111801,0.0,0.8571428571428571,0.9341176470588235,0.45576707726763716
17031017008,0.08085381630012936,0.6642949547218628,0.01034928848641656,0.003234152652005175,0.0,0.24126778783958602,0.03260869565217391,0.043478260869565216,0.010869565217391304,0.0,0.0,0.7608695652173914,0.0,0.0,0.05434782608695652,0.0,0.0,0.09782608695652174,0.0,0.0,0.0,0.8408450704225352,0.9287531806615776,0.49238578680203043
17031017009,0.00631578947368421,0.9757894736842105,0.0010526315789473684,0.007368421052631579,0.0,0.009473684210526316,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.22727272727272727,0.0,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.8597701149425288,0.9720496894409938,0.5632377740303541
17031017011,0.04608294930875576,0.7588325652841782,0.013824884792626729,0.0,0.0,0.18125960061443933,0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.7777777777777778,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.9288389513108615,0.9578313253012049,0.547945205479452
17031017012,0.1478537360890302,0.35824059353471116,0.03709591944886063,0.0010598834128245894,0.0005299417064122947,0.4552199258081611,0.025052192066805846,0.018789144050104383,0.010438413361169102,0.0,0.0020876826722338203,0.8872651356993737,0.0041753653444676405,0.0,0.0041753653444676405,0.0,0.0,0.04384133611691023,0.0,0.0041753653444676405,0.0,0.8744343891402715,0.8868243243243243,0.5507518796992481
