UNIQUE_ID,COUNTYFP,County,Precinct,CONG_DIST,GCON01DJAC,GCON01OWRI,GCON01RCAR,GCON02DKEL,GCON02RLYN,GCON03DRAM,GCON03RBUR,GCON04DGAR,GCON04OWRI,GCON04RFAL,GCON04WHER,GCON05DQUI,GCON05ICRU,GCON05RHAN,GCON06DCAS,GCON06OWRI,GCON06RPEK,GCON07DDAV,GCON07OWRI,GCON08DKRI,GCON08RDAR,GCON09DSCH,GCON09RRIC,GCON10DSCH,GCON10RSEV,GCON11DFOS,GCON11OWRI,GCON11RLAU,GCON12DMAR,GCON12OWRI,GCON12RBOS,GCON13DBUD,GCON13OWRI,GCON13RDEE,GCON14DUND,GCON14OWRI,GCON14RGRY,GCON15DLAN,GCON15RMIL,GCON16DHAD,GCON16RLAH,GCON17DSOR,GCON17OWRI,GCON17RKIN
COOK-:-8500005,31,COOK,8500005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500006,31,COOK,8500006,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500008,31,COOK,8500008,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500009,31,COOK,8500009,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500010,31,COOK,8500010,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500011,31,COOK,8500011,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500012,31,COOK,8500012,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500013,31,COOK,8500013,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500014,31,COOK,8500014,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500015,31,COOK,8500015,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500016,31,COOK,8500016,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500017,31,COOK,8500017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500018,31,COOK,8500018,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500019,31,COOK,8500019,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500020,31,COOK,8500020,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500022,31,COOK,8500022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500023,31,COOK,8500023,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500024,31,COOK,8500024,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500025,31,COOK,8500025,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500026,31,COOK,8500026,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500027,31,COOK,8500027,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500028,31,COOK,8500028,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500029,31,COOK,8500029,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500031,31,COOK,8500031,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500032,31,COOK,8500032,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500034,31,COOK,8500034,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8500035,31,COOK,8500035,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900001,31,COOK,8900001,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900003,31,COOK,8900003,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900004,31,COOK,8900004,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900006,31,COOK,8900006,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900008,31,COOK,8900008,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900009,31,COOK,8900009,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900018,31,COOK,8900018,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900019,31,COOK,8900019,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900022,31,COOK,8900022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900028,31,COOK,8900028,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900031,31,COOK,8900031,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900033,31,COOK,8900033,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900034,31,COOK,8900034,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900035,31,COOK,8900035,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900036,31,COOK,8900036,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900037,31,COOK,8900037,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK-:-8900038,31,COOK,8900038,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
